COUNTRY,COUNTRY_CODE,DEV,LEGAL,AUDIT_2002,ENFORCE_2002,TOTAL_2002,AUDIT_2005,ENFORCE_2005,TOTAL_2005,AUDIT_2008,ENFORCE_2008,TOTAL_2008,ChAUDIT08_02,IND,PD,UA,PROT_PCT,CHRST_OTH,HIND_PCT,BUDH_PCT,ISLM_PCT,RELG_OTH,RELIGION_IMPORTANT,MARKET_LIQUIDITY2008,DIF_LIQUID08_02
SLOVENIA,SVN,0,0,9,8,17,11,8,19,11,8,19,2,27,71,88,0.8,57,0.03,0.08,2.4,39.7,47,3.146082712,-0.750061624
SOUTH AFRICA,ZAF,0,1,9,2,11,19,10,29,19,10,29,10,65,49,49,68,11.7,1.25,0.1,1.5,17.45,85,59.29704338,19.90442223
SPAIN,ESP,1,0,14,5,19,26,9,35,26,16,42,12,51,57,86,0.87,76.33,0,0.5,2.3,20,49,115.8998517,-66.06184758
SWEDEN,SWE,1,0,17,5,22,25,5,30,25,9,34,8,71,31,29,86,0,0.08,0.2,4.9,18.62,17,NA,NA
SWITZERLAND,CHE,1,0,15,19,34,27,19,46,27,22,49,12,68,34,58,49,30.3,0.38,0.29,5.7,14.33,41,134.3991993,-52.26188168
TAIWAN,TWN,0,0,8,8,16,10,8,18,10,8,18,2,17,58,69,NA,NA,NA,NA,NA,NA,NA,NA,NA
THAILAND,THA,0,1,9,15,24,11,15,26,11,12,23,2,20,64,64,0.4,0.3,0,93,5.8,0.5,97,42.61700636,17.29297824
TURKEY,TUR,0,0,10,2,12,14,6,20,11,9,20,1,37,66,85,0,0.09,0,0.1,98.6,1.21,82,38.92221541,2.01995365
UKRAINE,UKR,0,0,2,2,4,4,2,6,4,2,6,2,40,90,90,0.9,90.6,0,0.1,0.9,7.5,46,NA,NA
UNITED KINGDOM,GBR,1,1,18,14,32,32,22,54,32,22,54,14,89,35,35,59.56,12.24,1,0.3,4.6,22.3,27,97.36104461,5.70685696
UNITED STATES,USA,1,1,18,21,39,32,21,53,32,24,56,14,91,40,46,55,23.4,0.4,0.7,0.8,19.7,65,258.7752801,48.95646711
